text,novelty,diversity,label
"As the day sort of went on and I decided to play , I started to focus a little bit better .",0.272497232,0.531833154,1
My feeling is it is going to take a couple of weeks or so before we start to see proper re - engagement .,0.637295816,0.644964404,1
"If Donald Trump wins the Republican nomination , there will once again be no opposition to an ever - expanding government .",0.095693617,0.644804603,1
"He explained : "" We had a few players who started against Man United and Arsenal who were injured a few weeks ago so we also have to think about whether it makes sense and whether it is too dangerous to start them again .",0.741458999,0.752695569,1
"Last year , the world ' s airlines carried a record 3 .",0.658511711,0.677350878,1
6 billion passengers on 34 million flights .,0.587404191,0.274161052,1
"It ' s all in God ' s hands , and there ' s a reason for all of this and instead of letting it hurt us , we ' re going to try to do something good .",0.62209339,0.650555262,1
"I ' m not saying that what he did was right , but it ' s before court , he ' s been charged months ago , and it ' s not fair to be putting online all this information about his family .         
""",0.688355537,0.703253102,1
"My thoughts are with the officer and the officer ' s family and all the hospital staff who have been involved in this incident ,"" she said .",0.703682833,0.668085771,1
"We haven ' t played against each other before , but I ' m sure we ' ll be playing many times .",0.534423976,0.566341969,1
"We normally have a piece in our match preparation where the players see how to beat the opponent , how to cause them problems .",0.721733547,0.713438647,1
"I saw her running down the street yesterday and I gave her help , but to lose your daughter like that is just tragic .                                               
""",0.611620293,0.557653854,1
"Let me be clear : we fully accept our responsibility to bring down emissions ,"" he said in Brussels .",0.714334229,0.68182321,1
"After leading the United States for seven years , President Obama on Tuesday night will deliver his final State of the Union address -- perhaps his last great opportunity to command the nation ' s attention .",0.60900206,0.695239894,1
"My relationship with my children was seriously affected as they were told time and again that everything was my fault , they were even left ' in charge ' of me if my wife went out of the house .",0.733726896,0.705514518,1
"That made it really challenging but , when you have a good team and good guys , it ' s amazing how you can figure out a way to do it .",0.543034162,0.572576558,1
"The study claims that the mean summer temperatures across Europe "" appear to reflect the influence of external forcing during periods ,"" or , to put it another way , are the result of man - made climate change .",0.744046406,0.758764554,1
She has now launched an appeal on social media in a bid to find the person responsible for the incident .,0.728644125,0.671036726,1
The company says building in China allows them to use existing plants and begin selling the car in the US by the summer .,0.718744136,0.736399345,1
"I also think , I really liked the idea of being able to give something to the fans that they were wanting .",0.534257663,0.558238468,1
"I have no idea who lives there , whose car or clothes it is or what the circumstances are - I just thought it was something funny to see .",0.568935465,0.598912376,1
Over a year later -- and still not openly talking about his breast cancer -- a close friend called and told him to turn on the television .,0.750921829,0.73993201,1
"They were cross when we said we ' d painted it , and two days later they sent someone along to paint it back red .",0.676320302,0.673905757,1
All we know is that the police at the scene perceived that it was mostly young men aged 18 to 35 from the Arab or North African region .,0.076933913,0.630499811,1
I realised there was a very large community who were being asked that question and didn ' t know how to answer it .,0.520553148,0.580499289,1
"The biggest months for adding and dropping credit cards are December and January , so now ' s the time to make sure that $ 95 annual fee is really worth it .",0.711903758,0.732822341,1
"But they ' re going to monitor her developing baby to see if the baby has been affected and once that baby is born they ' ll do hearing tests , vision tests to see if the baby was damaged .",0.721567871,0.756920992,1
"Any Syrian man or woman would tell you that there is no need for anyone to come to our country to risk their lives to fight or support the fighting .                                   
""",0.705760972,0.726212228,1
"We ' re going to have to continue to balance our needs for security with people ' s legitimate concerns about privacy ,"" he said .                                           
""",0.619128323,0.609444585,1
"It would be easy for me to play the victim , but I don ' t feel I should ,"" he said .",0.483119699,0.481715107,1
"A combination of rising house prices , decent economic growth in the UK , cheap money market funding and the Bank of England not forecast to raise rates for some time , has put mortgage deals in a sweet spot .",0.706919181,0.758965515,1
The normally reliable retailer also cited a lack of stock and increased online competition as reasons for full - price sales falling 0 .,0.7651684,0.789740746,1
5 per cent across its stores in the 60 days to December 24 .,0.430832996,0.474098284,1
We want documents and evidence to be examined in order that steps can be taken to prevent anything like this happening again .,0.704609753,0.690133085,1
"Despite all this , San Diego has proven that it ' s a region that supports its major - league teams .                                                     
""",0.756245452,0.84453977,1
"It should be treated exactly like raw meat - don ' t look at an egg any different way ,"" he said .",0.613579674,0.667361643,1
Those public works projects show how vulnerable L .,0.740163961,0.795084257,1
A .,0,0.517994447,1
"could be in the next major storm , he said .",0.662469819,0.617234712,1
"Gold Coast haven ' t had much to celebrate in this short five year history , winning only 28 games with percentage of games won at only 25 .",0.669647902,0.646919761,1
"When you live so closely with other people , calling them by their government - issued names just won ' t do .",0.728773706,0.753477736,1
"The 33 - year - old man was arrested for the murder of his father and is being held on $ 1 , 000 , 000 bail , according to officials .",0.493957562,0.459482376,1
"The question of whether she received emails with classified information has nothing to do with any action taken by Secretary Clinton ,"" she said .",0.588940845,0.694566917,1
"There ' s always another drought coming down the pipeline , whether it ' s two years from now , or this one continues into next year .",0.630809849,0.657131387,1
"It ' s been their game and that ' s fine , they ' re not to blame for that , it ' s just the way the world was .",0.642726003,0.59404107,1
"I came from the immigrant background , and with all the problems we ' ve got now with immigration and refugees , we ' ve got to look at ways to help each other out .",0.632276833,0.671081839,1
He took the team back into the Champions League in his first campaign but has been heavily criticised this season for both United ' s style of play and results .,0.659936422,0.685683239,1
Let ' s take a look at where they are today and what happened to some of the most popular guest stars too .,0.707424565,0.728790373,1
"In his post that began ' thank you for your review ', he defended his staff and described how police had to be called after the wedding guests got drunk and refused to leave .",0.724106748,0.788200418,1
"She made them promise not to tell me , that whatever she said about me should be a secret between them .",0.659652081,0.598069751,1
"The prospect of super - intelligence capable of threatening human life still appears to be decades away , if it happens at all .",0.741027786,0.746681773,1
"Australia hosted the first day - night Test , using a pink ball , against New Zealand in Adelaide in November and are keen to further develop the idea .",0.722764184,0.751226108,1
"The effort died in the Senate after Republicans successfully cast the proposal as a "" cap - and - tax "" that would cost jobs .",0.668725494,0.750231028,1
"Although we left a few tries out there , it is good to start the new year with a win .                                                       
""",0.582542733,0.654049127,1
"He ' s a talented , young coach that has proven himself on the college level as well as in the NFL ,"" Fisher said in a statement on the Rams "" website .",0.701128264,0.747663434,1
"His victim , who is called Tony , fell to the ground before he was repeatedly kicked in the head and body .",0.687676523,0.774578877,1
"He moved from Philadelphia to Los Angeles for one more shot at the Stanley Cup , and he ' s already playing a major role in the Kings ' pursuit with a string of power - play goals .                   
""",0.739376751,0.775988421,1
"This was an act of murder that took place in the streets of London and it was state - sponsored ,"" she said .",0.695686021,0.731126946,1
"A further 700 people were given a good behaviour bond without a conviction recorded , while just four cases resulted in a not guilty verdict .",0.722277921,0.750769102,1
"In 2005 , when ground was broken to turn that storage spot into a park , the house was moved again to a city storage yard .",0.784764977,0.758443856,1
"We have people going to court , we have people going for medical treatment , and you can ' t leave them locked down 24 hours a day .",0.646433388,0.656682003,1
"I am going to have to get better at this ,"" because if I want to go and engage in the next part of being a manager I am going to have to engage with bigger groups and prepare right .",0.551916204,0.565105905,1
"The party appears to have had less success trying to attract elderly voters since the election - a key target group if the party is to win in 2020 , according to the report .",0.717776618,0.744563329,1
Some machines were pulling in as much as $ 2000 a week in quarters in the US during the peak of the game ' s popularity .,0.762982291,0.751453666,1
In women ' s tennis there is not even one player who can get closer than 6 - 1 6 - 2 .,0.650730556,0.704647862,1
"Later , he was driving to his mother ' s home when he came across a stretch of K - Beach road that was damaged in the quake .",0.730210003,0.144707795,1
"And whatever heat he ' s faced , it ' s nothing compared to what the people of Flint are going through .",0.621692117,0.6514537,1
"All of the staff don ' t get to work with each other again , we don ' t know where we ' re working , we don ' t know if we can still do our normal shift .",0.646590436,0.649535093,1
"Yet authorities recently announced plans to tear the neighborhood down by mid - 2016 to make way for a "" green space "" and an office park .                                         
""",0.765454561,0.806751783,1
"Maybe I ' m a little bit not as good as he is in that way ,"" Trump said .                                                       
""",0.546621025,0.535492324,1
"It ' s also interesting to hear the perspective from my children as adults when they talk about it ,"" she said .",0.653512714,0.644870893,1
"They can grant supposed "" police bail ,"" so allowing them to keep their chosen victims under suspicion for years .",0.708454751,0.677094397,1
"In other words , there is a place for everyone and an environment where girls and boys can be themselves .",0.692293141,0.712068774,1
"The PM gives his opinion on "" Brexit "" and if he believes Great Britain should leave the European Union .                                                       
""",0.584113835,0.630683138,1
"If Europe is not capable of protecting its own borders , it ' s the very idea of Europe that will be questioned ,"" he said .                                         
""",0.11436256,0.079579333,1
"We hope this can be used as one of the tools to identify children at risk ,"" he said .",0.615835909,0.661088194,1
"In addition to the 31 suspects , the arrest of two men from north Africa was announced on Friday morning in connection to the attacks .",0.521422178,0.672936038,1
"Facebook had already banned the sale of guns without identity checks , but the new rules aim to stop all gun trade between individuals on the sites .",0.758975003,0.767506683,1
"Earlier in the week , David Cameron , had talked up the prospect of reaching a deal with the rest of the EU by the next leaders "" summit on 18 February , with a view to holding the promised referendum in June or July .",0.563469723,0.614715012,1
Authorities said an adult male suspect was killed and another suffered non - life threatening injuries when shots were fired .,0.589624988,0.436947505,1
"Of the 56 percent of Republican voters who think Trump would be a good or great president , a substantial minority of them ( 17 percent of Republican registered voters overall ) say they think Trump is not religious .                 
""",0.557089784,0.46834009,1
"You should be able to get a drone that can effectively follow you , not run into things , and find things on its own ,"" he says .",0.652340085,0.560798105,1
He says : ' She wasn ' t the type of girl you come across many times in your lifetime - maybe never .,0.662441743,0.643991662,1
"City finished 20 points ahead of Brisbane on the league table , scored 22 more goals and conceded 13 less .",0.523122408,0.641359078,1
"We are a consumer driven economy , and we still have a decent set of factors , like income growth , consumer confidence and jobs .",0.735455461,0.677829207,1
"One of the reasons that I ' ll win and , I think , none of the other guys will win is because I ' m going to get states that they ' ll never get .",0.546758845,0.425512605,1
"It doesn ' t sit with my understanding of how he views the world , so , yes , I was surprised .",0.622007557,0.663001563,1
I ' m going to be playing out my career elsewhere which it took me a couple of days to get over .,0.577273317,0.565982404,1
I am going to focus on my health and fighting this battle with a return to football as my ultimate goal .,0.68197438,0.717572736,1
"They say they had always intended to return , but police claim they were worried about facing the death penalty in China .",0.744908319,0.77111693,1
"The President has already begun to recall his administration ' s handling of the financial crisis , pointing to the recovery of the U .",0.744135219,0.742629178,1
S .,0,0.598334082,1
auto industry in his weekly address to the nation on Saturday .,0.695229094,0.77366618,1
The U .,0,0.336922906,1
S .,0,0.598334082,1
"online search firm , which has faced severe criticism of its UK financial arrangements , said the payment will cover back taxes from 2005 to 2015 .",0.762960226,0.74508806,1
"I ' m not sure he ' s going to get a bigger club than Liverpool , so why leave ?",0.53050719,0.535507093,1
"That ' s why he ' s taken it on himself to monitor every pregnancy in the village , especially those of women who are disabled , encouraging them to eat a healthy diet with plenty of green vegetables .",0.769500609,0.760729435,1
"Obama , then 28 , is a summer law associate who wants to take Robinson , his adviser and a working attorney , out on a date .",0.708266059,0.781349651,1
"As well as suggesting people limit the amount they drink in one session , there is also advice for people to help cut the immediate risks - such as drinking more slowly .",0.605946184,0.728105009,1
The most important thing for us is that we have everyone buy into everything we ' re trying to do .,0.614506758,0.575633168,1
"The tax office will sit down again with unions on Monday to try to pick up the pieces after the 85 to 15 per cent defeat of its wage proposal .                                   
'",0.70066238,0.696629904,1
I ' ve never felt like a full man but now I ' m ready for my life to start and I ' ve never felt so confident .,0.486731517,0.530042485,1
"My friends are going out and hanging out , well I guess it ' s different in my way because I ' m getting to go out and travel with the UFC and fight .",0.606640061,0.579677975,1
"2 Alabama on Monday night , hoping to finish off a goal set down as the ultimate target long ago .",0.773136787,0.711111138,1
The wife and former partner of a man injured in a bus accident started a fight in front of the hospital when they both came to visit him at the same time .,0.725030313,0.733496083,1
"I know all the guys over there compete every shift , and I wouldn ' t expect anything different when I play with them as well .",0.511637317,0.474737932,1
"Jane Lane , a Republican on the state executive committee , predicted that second place in the primary could only require 12 % or 13 % support .",0.729967735,0.716531679,1
He said to me that he was in trouble and that he had to sell some cocaine or crack ... otherwise he was going to be killed .,0.651596907,0.647944697,1
"On our own : California has no use for the rest of America , according to one candidate running for state Assembly .                                                   
""",0.628669862,0.707897951,1
"He ' s lifted the place a bit and also tried to implement some of his own ideas into the team in the week ,"" Williams added .",0.722313958,0.749421495,1
"Women in this country expect to see men and women working together on equal terms , that ' s what the Labour Party believes in and we can ' t have an all - male leadership again .",0.399373433,0.780156006,1
"A second victim , a four - year - old boy , was forced to watch as one of them committed sex acts and others watched from a hotel room .",0.612481634,0.604541582,1
"I am not here to think about what happens with a player in the future , we have to work in this moment together with Daniel on his fitness .",0.096631926,0.594917795,1
"It sounds simple , but in Taiwan , to fight for the well - being of people is relatively new .",0.649013916,0.68614605,1
"Any piece of information could be useful , so I would ask that if you were in the area at the time , that you tell police what you saw .                                   
""",0.630619758,0.631379806,1
"How do we make sure that the EU , which we joined for the single market benefits and the benefits to business , continues to work for them and , indeed , work better for them ,"" she said .",0,0.707830147,1
"It ' s one thing to be like a very tough guy -- we ' re all tough people -- but you ' ve got to be able to get along a little bit with people .                       
""",0.18660351,0.621440847,1
"We had a couple of losses , but a win in the Rose Bowl is the best way you can go out ,"" he said .",0.489004495,0.647301405,1
"When I was 6 - 11 , the doctors said you ' re done , then I got to 7 - 2 , 7 - 3 .",0.449225249,0.481167015,1
"Where we become aware of any accounts that may be negative , we immediately contact companies such as Instagram , although we have no control over what they allow on their sites .",0.769691098,0.795287666,1
But it ' s devastating for U .,0.362471895,0.501915734,1
S .,0,0.598334082,1
oil producers - and for the millions of businesses and workers tied to the oil industry .,0.600806384,0.643852226,1
"A leaked document submitted to ministers suggests this could leave twice as many homes at "" significant risk "" within 20 years , the paper adds .",0.424398211,0.758603005,1
Ohio State ( 11 - 1 ) was the defending national champion and spent the season ' s first 10 weeks at No .,0.73022437,0.676599481,1
Egypt ' s Interior Ministry has said the attack was directed at security forces and was carried out by a member of a group of people who had gathered near the hotel and fired bird shot .,0.699252324,0.716480359,1
"Here are some of the top winners for you to enjoy at home , and look to add on the lunch menu at your local school .",0.698957152,0.767724127,1
"The man who I see every ten days , he works in central London , so we go out there and go to the V & A museum and things like that , more cultural things .",0.668208709,0.664972276,1
"If you ' re thinking of a future investment , you ' ll need to make a decision fast as there ' s a six - year waiting list .                                     
""",0.658451277,0.662526739,1
"It ' s obviously a big - time positive for us to have these two young guys playing as well as they have the last week or so ,"" Scott said Saturday .                             
""",0.570508923,0.653448497,1
"Now we need to hear your voice to everyone who is coming to this conference , and saying this conference must be an opportunity not to be missed ,"" he said .",0.697380116,0.708373516,1
"The involvement of a major club , the Fox Sports coverage , increasing media and the general growth of the game will mean that a lot more players will want to come out here and play .",0.718517995,0.774162292,1
"In recent decades , Iran has been at odds with many leading countries around the world -- including the United States -- in part due to its nuclear program .",0.704107495,0.695652547,1
"You play big games , you play in moments where everything ' s on the line , one team has to lose .",0.571824284,0.592413814,1
"He felt secure in this home , with parents who never argued : they had that perfect love he has sought ever since .",0.671227195,0.693356388,1
"A second band of heavy rain is forecast for Friday , according to the Met Office , with warnings already in place for parts of Scotland , Northern Ireland , north - east England and Wales .",0.048438755,0.477663419,1
"If I can reach out to anybody who is going through the same thing , then that would be amazing .",0.50411304,0.521115748,1
"The ' Out of Africa ' theory holds that the main migration from Africa occurred around 65 , 000 years ago .",0.700598835,0.387025106,1
"Those aren ' t new recommendations ; several other health groups also have long urged depression screening , although there ' s no data on how often it ' s done .",0.717851676,0.784678737,1
"2 label group in terms of market share , with 8 % of U .",0.701765573,0.759370419,1
S .,0,0.598334082,1
recorded music sales that year .,0.620629516,0.694622273,1
"When Georgia was born in June 2011 , doctors noticed her head was slightly larger than normal and immediately took her for tests .",0.74838689,0.782891821,1
"She now says she is facing a ' battle for survival ' and is looking to raise more than Â£ 60 , 000 for specialist treatment in Washington DC .",0.767702874,0.777872538,1
"In a press conference this week he told reporters : "" I want to work in England ,"" but stressed he had no agreement in place yet .                                           
""",0.651390707,0.642208319,1
"The broader index is dominated by banks and resources , which we know are in a low earnings growth environment ,"" he said .",0.722399486,0.698260874,1
"I come out here tonight and I can see your faces , and I look into your eyes and I see so much love and it gives me strength .",0.492830414,0.490846831,1
"He is widely considered one of the top prospects for the 2016 NFL draft , if he leaves school early .",0.72510909,0.747415336,1
"He ' s worked extremely hard , both in Miami and in L .",0.669661339,0.741790471,1
A .,0,0.517994447,1
"It was never a weight issue , in the classic sense .",0.65465162,0.675932479,1
"She ' s clearly stayed pretty calm , had some excellent wins here against very tough opponents , high - ranked opponents , and experienced ones .",0.710615258,0.760513623,1
"The man quickly follows a few steps behind her , moving closer when she stops to take a closer look at the food .",0.734647428,0.730802253,1
Our members have been extremely patient ; they have waited for more than three and half years for promised talks on improving work - life balance .,0,0.734005111,1
"Their squad for the five - match series , which begins on Tuesday in Perth , has seen a third of the squad from last year ' s World Cup shed .                                 
""",0.659901008,0.656935191,1
"Some people will pay attention to this and realize they are at risk for something , others are obviously going to ignore it ,"" he said .                                         
""",0.616479948,0.657920441,1
"When you look at the money side of things as an English player , it ' s not quite as good as you think it is ,"" he said .",0.590764616,0.594431087,1
"You know when you ' ve got that little bit of hope and that little bit of faith , and then they didn ' t .                                             
""",0.532974928,0.585805037,1
"December and January are not normally busy months for us - it was fairly striking the change in activity ,"" he said .",0.683070805,0.709695128,1
"We are sad and in shock , a member of our crew , of our tennis family , passed away last night in a hotel here in Melbourne .",0.72180177,0.716002627,1
We will have crews out in the next couple of days and if the river levels rise then we could issue warnings .,0.68389719,0.5919924,1
"These statistics were from around 2006 to 2008 , and I believe that since then the success rates have improved .",0.701833337,0.713106219,1
"In the case of Isis , the media strategy has helped to kill about 10 , 000 people according to human rights agencies .",0.651647459,0.753280024,1
It won ' t be long before she can join the rest of her class at her local secondary school .,0.664851303,0.714126056,1
And women younger than 65 years old are more than twice as likely to die from a heart attack than men of the same age .,0.552633008,0.64447221,1
But I learned from my mom and my faith that it is not whether you get knocked down it is whether you get back up .,0.475845033,0.602476333,1
"Health authorities are suggesting that women in any stage of pregnancy , or who think they might be pregnant , should re - consider their travel plans .",0.710187089,0.725520414,1
"I don ' t feel like we have a lock on anything , I just want to give these guys an opportunity to build on this , it ' s a significant day .",0.561408268,0.537198489,1
"A 44 - year - old woman was arrested for allegedly helping the three inmates who escaped a maximum security prison in California , according to the Orange County Sheriff ' s Department .",0.413579091,0.546280318,1
He ' s always been a great defender but now he seems to be able to defend and hurt you at the same time .,0.645635926,0.626923093,1
The press has been doing that to her since 2008 when she was announced as the GOP ' s vice presidential nominee .,0.695129558,0.67694604,1
What I heard over and over again was that it made them feel that they weren ' t crazy any more .,0.485831747,0.585002909,1
"Almost half of those doing so in 2014 / 15 were European , with 36 % from central and eastern Europe and 10 % from other EU countries .",0.6870099,0.685075447,1
"The teenager has been taken to hospital for treatment , but his injuries are not thought to be life - threatening .",0.198418389,0.365724703,1
"I can only imagine what it must have been like to discuss this , but you were once again a hero at this most challenging time of your life .",0.633406478,0.500533473,1
It ' s time they face up to the fact that the only world leader supporting a British exit from the EU is Vladimir Putin .,0.664433198,0.73455924,1
"Clinton has since hit her rival over his views , telling CNN Thursday that , "" I don ' t really understand what he means by that .",0.694412539,0.463541257,1
"She and her team develop new technology ideas , from smart - home technology to the future of mobile phones .",0.725787844,0.742274613,1
"The US has sent dozens of special forces soldiers to help rebels fighting IS in Syria , although the troops are not intended for front line combat .",0.725990076,0.180404794,1
"I ' ve not found any evidence that backs up the 10 , 000 - steps figure - and it seems common sense that some people will need to move more than others .",0.713747353,0.624991516,1
"You don ' t need to supply your real name , but please do leave contact details if you ' re happy for us to get in touch .",0.635792354,0.630017268,1
"Well , the Syrian government were the first to put together a team and commit to attending - on their terms , of course .",0.692656843,0.696812829,1
"Since his loss in the 2012 presidential campaign , Ryan traveled the country studying the issue before releasing an anti - poverty plan in 2014 .",0.771175423,0.800152176,1
"Unlike famous barriers such as the Berlin Wall or the Great Wall of China , the US version is not much of a wall .",0.339807761,0.839364249,1
"If he can get agreement from the 27 other EU nations at the next European Council summit on 18 and 19 February , he is widely expected to hold a referendum in June .",0.468100336,0.603279649,1
But if there is a delay for whatever reason it delays us in our duties which could have an impact on people ' s lives .,0.597589562,0.666429217,1
"And as long as that continues , which it should , then that ' s 30 - 35 minutes that you might give to a young player that you can ' t .",0.657465907,0.666720757,1
"While the detailed report won ' t be available until April , the team has revealed the "" top - level "" findings from the study .",0.718233455,0.76578802,1
"As always , we keep Congress informed about issues related to Iran sanctions , and will continue to do so as we work through remaining issues .",0.708230066,0.763896621,1
"It ' s not good enough , it needs more work , but we are making progress ,"" he said .",0.312042253,0.569696098,1
"Even now I think : what is the point of this safety and security and the education and the opportunities that I have , if I ' m not there with my sister , to hold her hand and be with her ?",0.598634837,0.59366566,1
People across the globe sent a strong signal to those in power : it is time to tackle grand corruption .,0.406980958,0.791252667,1
"In recent weeks , he ' s been particularly aggressive in going after Clinton , the Democratic presidential front - runner , and her record leading the State Department .                                     
""",0.633086439,0.657697798,1
"This is the best way to decide something that ' s so important but so personal ,"" he said .                                                       
'",0.575628595,0.582715771,1
"I decided that I could help because I can ' t bear to see people struggle when they don ' t have to ,' he says .",0.45769566,0.527615907,1
"I certainly would rather be here , even though it ' s without him , than have my old life if that meant never having him at all .",0.558892227,0.626040201,1
A centre - right coalition won the most votes in October ' s election but lost its overall majority in November to be replaced by an alliance of left - wing parties which rejected its programme in parliament .,0.752297062,0.741608667,1
We ' re just going to go play football and do the things that we know how to do and try to do them really well regardless of what the conditions are .,0.581437406,0.545415987,1
"The terrorist may be defeated in 50 or 20 or 10 years , but money is going to be much harder to defeat .",0.67661207,0.668380638,1
The need to tackle low pay is stronger than ever and I ' m confident that the new commission will help build even greater buy - in to the living wage across the country .,0.712728389,0.697758628,1
"The company is still working on the project and it doesn ' t have a set release date , according to the report .                                                 
""",0.661788286,0.666452036,1
"I am not interested in ideas that sound good on paper but will never make it in the real world ,"" Clinton said .",0.080184005,0.670259019,1
We ' ve been monitoring them in the four years since [ the study was done ] at every festival .,0.637012283,0.643689551,1
"For Cruz , however , the poll is down a bit from where he stood in most December and early January polling .",0.671644063,0.71928789,1
"He ' d thought a lot about the long - term effect of the shooting on the center ' s employees , he said .",0.610337672,0.578116514,1
"There ' s a few small players in there , but they definitely use what they ' ve got to their full advantage .                                                 
""",0.603434977,0.68660371,1
"There ' s a lot of listening that happened from the White House ' s perspective , they want to know what these cities are doing ,"" she said .",0.621492548,0.659339027,1
"And I understand I took too long on the shot and I was given a warning , which is exactly what would have happened in the States .",0.541657653,0.588892596,1
"The figure represents the Disney film studio ' s biggest opening day in China and the highest Saturday opening day in the country in industry history , the company said .",0.050796211,0.730202025,1
"And I think that ' s what upset me more than anything else , was the fact that he didn ' t believe me and it still happened to other girls after me .",0.50472353,0.591083693,1
"I respect the women I write pop songs for , because they work hard in a way I could never do .",0.535946699,0.509552968,1
Once this man has gone away we did not get the right help from our friends and allies from the west and Britain .,0.649992362,0.597871121,1
"She added : "" It hasn ' t hit us yet that Joe is gone ...",0.594129303,0.656739128,1
"He grabbed hold of life and absolutely lived it .                                               
""",0.737207183,0.717781108,1
"We saw the cable lines and we thought we were going to hit them , but we went right over them ,"" she said .",0.640136428,0.622183222,1
"On the other hand , it ' s not as though we have been short of good role - models .",0.714728808,0.716723871,1
We are also keen to hear from anyone else who may have information which may assist but who have not felt able to come forward before .,0.573763844,0.557023508,1
"A Metropolitan Police spokesman said the force had no record of any action being taken regarding the incident , while the City of London Police said it had happened outside its area .                               
""",0.616005368,0.554457261,1
